building_id,building_type,city,year,month,electricity_kwh,natural_gas_therms,water_gallons,solar_generation_kwh,floor_area_sqft,occupants,hvac_type,building_age_years,energy_star_rating,carbon_emissions_tons
BLD001,Office,New_York,2024,1,45200,1850,12500,0,25000,120,Central_AC,15,72,28.5
BLD001,Office,New_York,2024,2,42800,1720,11800,0,25000,120,Central_AC,15,72,27.2
BLD001,Office,New_York,2024,3,38500,1250,12200,0,25000,120,Central_AC,15,72,24.8
BLD002,Hospital,Chicago,2024,1,125000,4500,85000,2500,150000,450,Central_AC,8,65,85.2
BLD002,Hospital,Chicago,2024,2,118500,4200,82000,2800,150000,450,Central_AC,8,65,81.5
BLD002,Hospital,Chicago,2024,3,105000,3200,78500,3500,150000,450,Central_AC,8,65,72.8
BLD003,School,Los_Angeles,2024,1,22500,450,18500,4500,35000,580,Split_System,22,58,12.5
BLD003,School,Los_Angeles,2024,2,21800,380,17800,5200,35000,580,Split_System,22,58,11.8
BLD003,School,Los_Angeles,2024,3,24200,320,19200,6500,35000,580,Split_System,22,58,12.2
BLD004,Retail,Houston,2024,1,35800,280,8500,0,18000,25,Rooftop_Unit,5,82,18.2
BLD004,Retail,Houston,2024,2,38500,250,8200,0,18000,25,Rooftop_Unit,5,82,19.5
BLD004,Retail,Houston,2024,3,42000,180,8800,0,18000,25,Rooftop_Unit,5,82,21.2
BLD005,Warehouse,Phoenix,2024,1,18500,120,3200,8500,45000,15,Evaporative,12,75,8.5
BLD005,Warehouse,Phoenix,2024,2,19200,95,3500,9800,45000,15,Evaporative,12,75,8.8
BLD005,Warehouse,Phoenix,2024,3,22500,85,4200,12500,45000,15,Evaporative,12,75,9.5
BLD006,Residential,Seattle,2024,1,1850,185,4500,0,2200,4,Heat_Pump,3,88,1.2
BLD006,Residential,Seattle,2024,2,1720,165,4200,0,2200,4,Heat_Pump,3,88,1.1
BLD006,Residential,Seattle,2024,3,1580,125,4800,0,2200,4,Heat_Pump,3,88,0.95
BLD007,Laboratory,Boston,2024,1,85000,2800,25000,0,42000,85,Precision_AC,10,62,55.2
BLD007,Laboratory,Boston,2024,2,82500,2650,24500,0,42000,85,Precision_AC,10,62,53.8
BLD007,Laboratory,Boston,2024,3,78000,2100,23800,0,42000,85,Precision_AC,10,62,50.5
BLD008,Hotel,Miami,2024,1,65000,450,125000,3500,85000,320,Central_AC,18,68,35.2
BLD008,Hotel,Miami,2024,2,72000,380,132000,4200,85000,320,Central_AC,18,68,38.5
BLD008,Hotel,Miami,2024,3,78500,320,145000,5500,85000,320,Central_AC,18,68,41.2
BLD009,Data_Center,Denver,2024,1,450000,0,15000,25000,20000,25,Precision_AC,2,45,225.0
BLD009,Data_Center,Denver,2024,2,445000,0,14500,28000,20000,25,Precision_AC,2,45,222.5
BLD009,Data_Center,Denver,2024,3,442000,0,14200,32000,20000,25,Precision_AC,2,45,218.5
BLD010,Restaurant,San_Francisco,2024,1,12500,850,8500,1200,3500,18,Split_System,8,55,8.5
BLD010,Restaurant,San_Francisco,2024,2,11800,780,8200,1500,3500,18,Split_System,8,55,8.0
BLD010,Restaurant,San_Francisco,2024,3,12200,720,8800,1800,3500,18,Split_System,8,55,8.2
