bug_id,severity,priority,component,status,assigned_to,created_date,resolved_date,time_to_resolve_hours,lines_of_code_changed,num_files_affected,programming_language,bug_type,environment
BUG001,Critical,High,Backend,Resolved,Dev_A,2024-01-05,2024-01-06,18,245,8,Python,Logic_Error,Production
BUG002,Major,High,Frontend,Resolved,Dev_B,2024-01-07,2024-01-09,42,128,5,JavaScript,UI_Bug,Production
BUG003,Minor,Low,Database,Resolved,Dev_C,2024-01-08,2024-01-12,85,52,2,SQL,Performance,Staging
BUG004,Critical,High,Backend,Resolved,Dev_A,2024-01-10,2024-01-11,22,312,12,Python,Security,Production
BUG005,Major,Medium,API,Resolved,Dev_D,2024-01-12,2024-01-15,65,95,4,Python,Integration,Staging
BUG006,Minor,Low,Frontend,Resolved,Dev_B,2024-01-14,2024-01-18,78,45,3,JavaScript,UI_Bug,Development
BUG007,Critical,High,Database,Resolved,Dev_C,2024-01-15,2024-01-16,20,185,6,SQL,Data_Loss,Production
BUG008,Major,Medium,Backend,Resolved,Dev_A,2024-01-17,2024-01-20,58,156,7,Python,Logic_Error,Staging
BUG009,Minor,Low,API,Resolved,Dev_D,2024-01-19,2024-01-25,120,38,2,Python,Documentation,Development
BUG010,Critical,High,Frontend,Resolved,Dev_B,2024-01-20,2024-01-21,15,278,9,JavaScript,Security,Production
BUG011,Major,High,Backend,Resolved,Dev_A,2024-01-22,2024-01-24,45,198,8,Python,Memory_Leak,Production
BUG012,Minor,Medium,Database,Resolved,Dev_C,2024-01-24,2024-01-28,82,65,3,SQL,Performance,Staging
BUG013,Critical,High,API,Resolved,Dev_D,2024-01-25,2024-01-26,19,225,7,Python,Integration,Production
BUG014,Major,Medium,Frontend,Resolved,Dev_B,2024-01-27,2024-01-30,55,112,5,JavaScript,Logic_Error,Staging
BUG015,Minor,Low,Backend,Resolved,Dev_A,2024-01-29,2024-02-03,95,42,2,Python,Documentation,Development
BUG016,Critical,High,Database,Resolved,Dev_C,2024-01-30,2024-01-31,16,295,10,SQL,Security,Production
BUG017,Major,High,API,Resolved,Dev_D,2024-02-01,2024-02-04,68,145,6,Python,Logic_Error,Production
BUG018,Minor,Medium,Frontend,Resolved,Dev_B,2024-02-03,2024-02-07,75,58,3,JavaScript,UI_Bug,Staging
BUG019,Critical,High,Backend,Resolved,Dev_A,2024-02-05,2024-02-06,21,265,9,Python,Data_Loss,Production
BUG020,Major,Medium,Database,Resolved,Dev_C,2024-02-07,2024-02-10,62,88,4,SQL,Performance,Staging
BUG021,Minor,Low,API,Open,Dev_D,2024-02-09,,0,0,0,Python,Documentation,Development
BUG022,Major,High,Frontend,In_Progress,Dev_B,2024-02-10,,0,85,4,JavaScript,Memory_Leak,Production
BUG023,Critical,High,Backend,In_Progress,Dev_A,2024-02-11,,0,150,6,Python,Security,Production
BUG024,Minor,Medium,Database,Open,Dev_C,2024-02-12,,0,0,0,SQL,Performance,Staging
BUG025,Major,Medium,API,In_Progress,Dev_D,2024-02-13,,0,72,3,Python,Integration,Staging
