shipment_id,origin_city,destination_city,distance_km,weight_kg,shipping_method,cost_usd,departure_date,arrival_date,transit_days,on_time,carrier,package_type,fragile
SHP001,New_York,Los_Angeles,4500,25.5,Ground,145.50,2024-01-02,2024-01-08,6,Yes,Carrier_A,Box,No
SHP002,Chicago,Miami,2200,8.2,Air,89.00,2024-01-03,2024-01-04,1,Yes,Carrier_B,Envelope,No
SHP003,Seattle,Boston,4900,42.0,Ground,178.25,2024-01-04,2024-01-12,8,No,Carrier_A,Pallet,Yes
SHP004,Houston,Denver,1450,15.8,Ground,72.00,2024-01-05,2024-01-08,3,Yes,Carrier_C,Box,No
SHP005,Phoenix,Atlanta,2750,5.5,Air,65.50,2024-01-06,2024-01-07,1,Yes,Carrier_B,Envelope,No
SHP006,Philadelphia,San_Francisco,4700,68.5,Ground,225.00,2024-01-07,2024-01-15,8,Yes,Carrier_A,Pallet,Yes
SHP007,San_Antonio,Portland,2850,12.3,Ground,95.75,2024-01-08,2024-01-12,4,Yes,Carrier_C,Box,No
SHP008,San_Diego,Dallas,2100,3.8,Air,52.00,2024-01-09,2024-01-10,1,Yes,Carrier_B,Envelope,No
SHP009,Dallas,New_York,2500,55.0,Ground,185.50,2024-01-10,2024-01-16,6,No,Carrier_A,Pallet,Yes
SHP010,San_Jose,Chicago,3200,18.5,Air,125.00,2024-01-11,2024-01-12,1,Yes,Carrier_B,Box,No
SHP011,Austin,Seattle,3100,28.2,Ground,138.00,2024-01-12,2024-01-17,5,Yes,Carrier_C,Box,Yes
SHP012,Jacksonville,Los_Angeles,3900,7.5,Air,78.50,2024-01-13,2024-01-14,1,Yes,Carrier_B,Envelope,No
SHP013,Fort_Worth,Miami,1950,85.0,Ground,265.00,2024-01-14,2024-01-19,5,Yes,Carrier_A,Pallet,No
SHP014,Columbus,Phoenix,2800,22.8,Ground,115.25,2024-01-15,2024-01-20,5,No,Carrier_C,Box,No
SHP015,Charlotte,Houston,1650,4.2,Air,48.00,2024-01-16,2024-01-17,1,Yes,Carrier_B,Envelope,No
SHP016,Indianapolis,Boston,1400,95.5,Ground,285.00,2024-01-17,2024-01-21,4,Yes,Carrier_A,Pallet,Yes
SHP017,San_Francisco,Atlanta,3500,16.8,Air,135.50,2024-01-18,2024-01-19,1,Yes,Carrier_B,Box,No
SHP018,Denver,Philadelphia,2750,35.5,Ground,152.00,2024-01-19,2024-01-24,5,Yes,Carrier_C,Box,No
SHP019,Washington,San_Diego,4200,48.2,Ground,195.75,2024-01-20,2024-01-27,7,No,Carrier_A,Pallet,Yes
SHP020,Boston,Dallas,2800,6.8,Air,72.50,2024-01-21,2024-01-22,1,Yes,Carrier_B,Envelope,No
SHP021,Nashville,Portland,3650,32.5,Ground,165.00,2024-01-22,2024-01-28,6,Yes,Carrier_C,Box,Yes
SHP022,Detroit,San_Jose,3800,9.5,Air,95.00,2024-01-23,2024-01-24,1,Yes,Carrier_B,Box,No
SHP023,Memphis,Seattle,3200,72.0,Ground,245.50,2024-01-24,2024-01-30,6,Yes,Carrier_A,Pallet,No
SHP024,Louisville,Phoenix,2450,14.2,Ground,88.75,2024-01-25,2024-01-29,4,Yes,Carrier_C,Box,No
SHP025,Baltimore,Los_Angeles,4350,2.8,Air,58.00,2024-01-26,2024-01-27,1,Yes,Carrier_B,Envelope,No
